timestamp,ip,user,method,url,protocol,status,bytes_sent,latency_ms,referer,user_agent
2023-01-01 00:43:40,60.169.56.157,user_68,GET,/item/5678,HTTP/2.0,200,6468,123,https://www.bing.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
2023-01-01 00:07:37,131.192.140.101,user_13,GET,/calculator,HTTP/2.0,403,2165,16,https://www.bing.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
2023-01-01 00:01:43,39.42.149.65,user_66,GET,/logout,HTTP/1.1,200,7275,141,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15"
2023-01-01 00:50:38,59.120.252.74,user_22,DELETE,/logout,HTTP/1.1,500,0,91,https://example.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:89.0) Gecko/20100101 Firefox/89.0
2023-01-01 00:18:47,6.8.251.224,user_93,GET,/signup,HTTP/1.1,200,2865,10,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
2023-01-01 00:16:44,162.176.217.184,user_60,POST,/home,HTTP/1.1,404,2353,54,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.864.48 Safari/537.36 Edg/91.0.864.48"
2023-01-01 00:15:15,76.143.67.226,user_22,GET,/blog/post1,HTTP/1.1,200,4995,102,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:89.0) Gecko/20100101 Firefox/89.0
2023-01-01 00:09:32,1.105.251.221,user_26,GET,/notes,HTTP/1.1,200,5355,154,https://www.google.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"
2023-01-01 00:50:17,60.169.56.157,user_53,DELETE,/checkout,HTTP/1.1,200,4142,70,https://www.google.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
2023-01-01 00:07:00,213.5.83.178,user_9,POST,/notes,HTTP/1.1,200,8357,130,https://www.google.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15"
